Date,Open,High,Low,Close,Adj Close,Volume
2010-12-21,7869.439941,7918.080078,7813.120117,7813.120117,7603.478027,1000
2010-12-22,7820.799805,7856.640137,7782.399902,7810.560059,7600.987305,800
2010-12-23,7864.319824,7928.319824,7828.479980,7872.000000,7660.778320,900
2010-12-27,7938.560059,8099.839844,7825.919922,7856.640137,7645.830078,1200
2010-12-28,7820.799805,7936.000000,7792.640137,7897.600098,7685.691406,400
2010-12-29,7836.160156,7866.879883,7802.879883,7851.520020,7640.847656,500
2010-12-30,7841.279785,7946.240234,7841.279785,7905.279785,7693.165039,600
2010-12-31,7936.000000,8084.479980,7915.520020,7982.080078,7767.904297,900
2011-01-03,7749.120117,7759.359863,7457.279785,7618.560059,7414.138672,2000
2011-01-04,7531.520020,7764.479980,7518.720215,7628.799805,7424.103516,1600
2011-01-05,7703.040039,7710.720215,7441.919922,7441.919922,7242.238281,1900
2011-01-06,7421.439941,7462.399902,7362.560059,7367.680176,7169.990234,1800
2011-01-07,7339.520020,7595.520020,7326.720215,7375.359863,7177.464355,2200
2011-01-10,7436.799805,7482.879883,7262.720215,7296.000000,7100.233887,1500
2011-01-11,7208.959961,7344.640137,7193.600098,7278.080078,7082.793945,1100
2011-01-12,7160.319824,7255.040039,7111.680176,7121.919922,6930.824219,1400
2011-01-13,7109.120117,7162.879883,7050.240234,7098.879883,6908.402344,1700
2011-01-14,7106.560059,7142.399902,6937.600098,6942.720215,6756.433594,1500
2011-01-18,7109.120117,7129.600098,6860.799805,6881.279785,6696.641113,1600
2011-01-19,6858.240234,7183.359863,6858.240234,7109.120117,6918.367676,2500
2011-01-20,7214.080078,7429.120117,7178.240234,7267.839844,7072.829590,3400
2011-01-21,7157.759766,7452.160156,7124.479980,7436.799805,7237.255859,2500
2011-01-24,7403.520020,7441.919922,7132.160156,7132.160156,6940.789551,3300
2011-01-25,7239.680176,7278.080078,7096.319824,7101.439941,6910.893066,2400
2011-01-26,7065.600098,7124.479980,6929.919922,6983.680176,6796.293945,2800
2011-01-27,6914.560059,6952.959961,6801.919922,6855.680176,6671.728027,2700
2011-01-28,6865.919922,7462.399902,6845.439941,7370.240234,7172.481445,5400
2011-01-31,7352.319824,7528.959961,7211.520020,7270.399902,7075.319336,7000
2011-02-01,7111.680176,7129.600098,6812.160156,6855.680176,6671.728027,4600
2011-02-02,6904.319824,6927.359863,6807.040039,6883.839844,6699.132324,3700
2011-02-03,6929.919922,7096.319824,6819.839844,6858.240234,6674.219727,4600
2011-02-04,6860.799805,6909.439941,6720.000000,6735.359863,6554.636719,4200
2011-02-07,6689.279785,6717.439941,6530.560059,6640.640137,6462.458984,3300
2011-02-08,6635.520020,6668.799805,6487.040039,6487.040039,6312.979492,2900
2011-02-09,6551.040039,6604.799805,6481.919922,6533.120117,6357.823242,3400
2011-02-10,6668.799805,6694.399902,6487.040039,6502.399902,6327.927246,3600
2011-02-11,6568.959961,6592.000000,6359.040039,6374.399902,6203.361816,3300
2011-02-14,6376.959961,6387.200195,6302.720215,6323.200195,6153.536133,900
2011-02-15,6369.279785,6435.839844,6333.439941,6351.359863,6180.939941,2500
2011-02-16,6302.720215,6302.720215,6177.279785,6225.919922,6058.864746,2400
2011-02-17,6323.200195,6325.759766,6195.200195,6225.919922,6058.864746,1600
2011-02-18,6228.479980,6343.680176,6200.319824,6261.759766,6093.744629,3200
2011-02-22,6507.520020,6835.200195,6461.439941,6817.279785,6634.357910,6700
2011-02-23,6822.399902,7129.600098,6743.040039,6978.560059,6791.311035,6000
2011-02-24,6940.160156,7129.600098,6799.359863,6865.919922,6681.693359,5000
2011-02-25,6745.600098,6758.399902,6553.600098,6576.640137,6400.175293,3400
2011-02-28,6507.520020,6650.879883,6440.959961,6545.919922,6370.280273,7200
2011-03-01,6451.200195,6904.319824,6451.200195,6853.120117,6669.236328,8000
2011-03-02,6871.040039,6878.720215,6612.479980,6745.600098,6564.602051,7800
2011-03-03,6553.600098,6553.600098,6315.520020,6351.359863,6180.939941,3000
2011-03-04,6364.160156,6571.520020,6333.439941,6443.520020,6270.626953,3700
2011-03-07,6364.160156,6876.160156,6351.359863,6702.080078,6522.249512,4200
2011-03-08,6735.359863,6853.120117,6535.680176,6625.279785,6447.510254,3900
2011-03-09,6704.640137,6865.919922,6673.919922,6760.959961,6579.549805,5700
2011-03-10,6996.479980,7157.759766,6945.279785,7070.720215,6880.999023,5300
2011-03-11,7203.839844,7203.839844,6878.720215,6950.399902,6763.906738,3800
2011-03-14,7060.479980,7168.000000,6904.319824,7016.959961,6828.681152,3500
2011-03-15,7644.160156,7697.919922,7188.479980,7303.680176,7107.708008,6000
2011-03-16,7490.560059,7987.200195,7372.799805,7825.919922,7615.934082,8600
2011-03-17,7459.839844,7631.359863,7365.120117,7623.680176,7419.121094,5000
2011-03-18,7354.879883,7685.120117,7354.879883,7667.200195,7461.473633,3300
2011-03-21,7316.479980,7357.439941,7116.799805,7242.240234,7047.916504,4700
2011-03-22,7206.399902,7316.479980,7191.040039,7270.399902,7075.319336,3000
2011-03-23,7347.200195,7490.560059,7086.080078,7147.520020,6955.737793,4800
2011-03-24,6996.479980,7101.439941,6720.000000,6763.520020,6582.040527,4500
2011-03-25,6696.959961,6740.479980,6579.200195,6722.560059,6542.180176,3300
2011-03-28,6630.399902,6835.200195,6622.720215,6824.959961,6641.832031,2100
2011-03-29,6873.600098,6932.479980,6630.399902,6635.520020,6457.475098,4000
2011-03-30,6525.439941,6622.720215,6499.839844,6528.000000,6352.840332,2600
2011-03-31,6561.279785,6594.560059,6481.919922,6502.399902,6327.927246,2400
2011-04-01,6394.879883,6548.479980,6341.120117,6494.720215,6320.453613,2900
2011-04-04,6433.279785,6638.080078,6417.919922,6553.600098,6377.753418,2500
2011-04-05,6594.560059,6645.759766,6479.359863,6602.240234,6425.088379,2500
2011-04-06,6458.879883,6671.359863,6397.439941,6568.959961,6392.701172,3800
2011-04-07,6566.399902,6712.319824,6440.959961,6568.959961,6392.701172,4100
2011-04-08,6487.040039,6763.520020,6461.439941,6668.799805,6489.862793,2300
2011-04-11,6592.000000,6799.359863,6540.799805,6727.680176,6547.163086,2900
2011-04-12,6827.520020,6942.720215,6771.200195,6858.240234,6674.219727,4000
2011-04-13,6730.240234,6853.120117,6638.080078,6694.399902,6514.775879,4300
2011-04-14,6835.200195,6912.000000,6702.080078,6727.680176,6547.163086,5200
2011-04-15,6799.359863,6896.640137,6686.720215,6771.200195,6589.514648,3900
2011-04-18,6952.959961,7239.680176,6899.200195,6901.759766,6716.571289,3800
2011-04-19,6853.120117,6958.080078,6776.319824,6776.319824,6594.497559,2200
2011-04-20,6415.359863,6440.959961,6297.600098,6315.520020,6146.062012,5900
2011-04-21,6128.640137,6223.359863,6120.959961,6167.040039,6001.565918,3900
2011-04-25,6151.680176,6184.959961,6108.160156,6118.399902,5954.230469,1600
2011-04-26,6064.640137,6108.160156,5952.000000,6016.000000,5854.578613,2700
2011-04-27,5977.600098,6062.080078,5870.080078,5893.120117,5734.996094,3100
2011-04-28,5944.319824,5990.399902,5888.000000,5928.959961,5769.873047,2300
2011-04-29,5939.200195,5959.680176,5870.080078,5923.839844,5764.891113,1400
2011-05-02,5882.879883,6005.759766,5849.600098,5962.240234,5802.261719,2600
2011-05-03,5969.919922,6156.799805,5954.560059,6041.600098,5879.491699,3500
2011-05-04,6039.040039,6225.919922,5990.399902,6077.439941,5914.369629,3900
2011-05-05,6164.479980,6231.040039,5957.120117,6167.040039,6001.565918,4300
2011-05-06,5982.720215,6161.919922,5877.759766,6110.720215,5946.757324,4600
2011-05-09,6087.680176,6149.120117,5969.919922,6044.160156,5881.982910,2400
2011-05-10,5987.839844,6018.560059,5867.520020,5890.560059,5732.504883,2500
2011-05-11,5911.040039,6138.879883,5857.279785,6016.000000,5854.578613,3300
2011-05-12,6080.000000,6174.720215,5888.000000,5911.040039,5752.434570,3400
2011-05-13,5949.439941,6123.520020,5921.279785,6110.720215,5946.757324,3500
2011-05-16,6195.200195,6474.240234,6144.000000,6430.720215,6258.171387,4100
2011-05-17,6535.680176,6566.399902,6371.839844,6376.959961,6205.853516,4900
2011-05-18,6394.879883,6420.479980,6179.839844,6215.680176,6048.900879,2000
2011-05-19,6146.560059,6272.000000,6123.520020,6159.359863,5994.091797,2700
2011-05-20,6179.839844,6325.759766,6164.479980,6295.040039,6126.130859,2800
2011-05-23,6563.839844,6668.799805,6504.959961,6576.640137,6400.175293,5800
2011-05-24,6528.000000,6704.640137,6528.000000,6699.520020,6519.758301,3400
2011-05-25,6740.479980,6740.479980,6533.120117,6625.279785,6447.510254,2100
2011-05-26,6679.040039,6679.040039,6446.080078,6499.839844,6325.436035,1800
2011-05-27,6471.680176,6484.479980,6384.640137,6402.560059,6230.766113,1500
2011-05-31,6213.120117,6323.200195,6100.479980,6103.040039,5939.282227,3900
2011-06-01,6123.520020,6502.399902,6092.799805,6492.160156,6317.962891,4100
2011-06-02,6451.200195,6556.160156,6376.959961,6443.520020,6270.626953,2900
2011-06-03,6661.120117,6763.520020,6522.879883,6730.240234,6549.654297,3700
2011-06-06,6773.759766,6906.879883,6671.359863,6896.640137,6711.589355,3200
2011-06-07,6842.879883,6947.839844,6763.520020,6935.040039,6748.958984,2700
2011-06-08,6981.120117,7147.520020,6945.279785,7086.080078,6895.946289,3400
2011-06-09,7080.959961,7147.520020,6942.720215,7050.240234,6861.067871,2000
2011-06-10,7142.399902,7390.720215,7106.560059,7375.359863,7177.464355,3400
2011-06-13,7347.200195,7449.600098,7257.600098,7377.919922,7179.955566,2900
2011-06-14,7196.160156,7206.399902,7032.319824,7098.879883,6908.402344,2600
2011-06-15,7285.759766,7523.839844,7157.759766,7485.439941,7284.590332,5100
2011-06-16,7480.319824,7767.040039,7406.080078,7585.279785,7381.751953,3700
2011-06-17,7380.479980,7705.600098,7339.520020,7646.720215,7441.543457,3600
2011-06-20,7713.279785,7713.279785,7457.279785,7528.959961,7326.942871,3400
2011-06-21,7434.240234,7536.640137,7016.959961,7040.000000,6851.103027,6200
2011-06-22,7116.799805,7196.160156,7004.160156,7185.919922,6993.106934,2700
2011-06-23,7416.319824,7495.680176,6981.120117,6991.359863,6803.768066,8300
2011-06-24,7098.879883,7393.279785,7065.600098,7360.000000,7162.516113,3500
2011-06-27,7339.520020,7372.799805,6891.520020,7006.720215,6818.715820,4200
2011-06-28,6947.839844,6983.680176,6681.600098,6691.839844,6512.284180,3300
2011-06-29,6630.399902,6748.160156,6571.520020,6604.799805,6427.579590,3400
